127.0.0.1 - - [12/Nov/2024:10:47:00 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:47:01 +0700] "GET /Web/index.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:47:43 +0700] "GET /Web/View/index.html HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/index.html HTTP/1.1" 200 18250
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/css/bootstrap.css HTTP/1.1" 200 121261
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/css/style.css HTTP/1.1" 200 51292
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/css/megamenu.css HTTP/1.1" 200 7406
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/js/megamenu.js HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/js/jquery.easydropdown.js HTTP/1.1" 200 12390
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/js/simpleCart.min.js HTTP/1.1" 200 25764
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/bag.png HTTP/1.1" 200 3067
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/js/classie1.js HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/js/uisearch.js HTTP/1.1" 200 6114
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/p1.jpg HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/p2.jpg HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/p3.jpg HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/w1.jpg HTTP/1.1" 200 10162
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/w3.jpg HTTP/1.1" 200 8795
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/w2.jpg HTTP/1.1" 200 8441
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/g1.jpg HTTP/1.1" 200 10298
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/g2.jpg HTTP/1.1" 200 9877
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/g4.jpg HTTP/1.1" 200 7340
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/g3.jpg HTTP/1.1" 200 6631
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/g7.jpg HTTP/1.1" 200 14628
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/g6.jpg HTTP/1.1" 200 13298
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/g5.jpg HTTP/1.1" 200 10017
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/3.jpg HTTP/1.1" 200 86004
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/search.png HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/g8.jpg HTTP/1.1" 200 7303
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:48:42 +0700] "GET /Web/View/images/img-sprite.png HTTP/1.1" 200 9399
