127.0.0.1 - - [13/Jan/2025:11:29:58 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:29:59 +0700] "GET /Web/IndexServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:29:59 +0700] "GET /Web/index.jsp HTTP/1.1" 200 14131
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:29:59 +0700] "GET /Web/css/megamenu.css HTTP/1.1" 200 8266
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:31:48 +0700] "GET /Web/men.jsp HTTP/1.1" 200 15833
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:31:48 +0700] "GET /Web/css/component.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:31:49 +0700] "GET /Web/images/product001_image1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:31:49 +0700] "GET /Web/js/cbpViewModeSwitch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:03 +0700] "GET /Web/FilterServlet?category=2&page=2 HTTP/1.1" 200 4826
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:03 +0700] "GET /Web/js/jquery-1.11.1.min.js?_=1736742709091 HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:03 +0700] "GET /Web/js/megamenu.js?_=1736742709092 HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:03 +0700] "GET /Web/js/jquery.easydropdown.js?_=1736742709093 HTTP/1.1" 200 12483
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:03 +0700] "GET /Web/js/simpleCart.min.js?_=1736742709094 HTTP/1.1" 200 30424
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:03 +0700] "GET /Web/images/product007_image1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:03 +0700] "GET /Web/images/product008_image1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:03 +0700] "GET /Web/images/product009_image1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:03 +0700] "GET /Web/images/product010_image1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:04 +0700] "GET /Web/FilterServlet?category=1&page=1 HTTP/1.1" 200 6426
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:04 +0700] "GET /Web/js/jquery-1.11.1.min.js?_=1736742723741 HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:04 +0700] "GET /Web/js/megamenu.js?_=1736742723742 HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:04 +0700] "GET /Web/js/jquery.easydropdown.js?_=1736742723743 HTTP/1.1" 200 12483
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:04 +0700] "GET /Web/js/simpleCart.min.js?_=1736742723744 HTTP/1.1" 200 30424
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:08 +0700] "GET /Web/FilterServlet?category=2&page=2 HTTP/1.1" 200 4826
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:08 +0700] "GET /Web/js/jquery-1.11.1.min.js?_=1736742724825 HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:08 +0700] "GET /Web/js/megamenu.js?_=1736742724826 HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:08 +0700] "GET /Web/js/jquery.easydropdown.js?_=1736742724827 HTTP/1.1" 200 12483
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:08 +0700] "GET /Web/js/simpleCart.min.js?_=1736742724828 HTTP/1.1" 200 30424
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:20 +0700] "GET /Web/FilterServlet?category=1&page=1 HTTP/1.1" 200 6426
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:20 +0700] "GET /Web/js/jquery-1.11.1.min.js?_=1736742728714 HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:20 +0700] "GET /Web/js/megamenu.js?_=1736742728715 HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:20 +0700] "GET /Web/js/jquery.easydropdown.js?_=1736742728716 HTTP/1.1" 200 12483
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:20 +0700] "GET /Web/js/simpleCart.min.js?_=1736742728717 HTTP/1.1" 200 30424
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:27 +0700] "GET /Web/FilterServlet?category=2&page=2 HTTP/1.1" 200 4826
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:27 +0700] "GET /Web/js/jquery-1.11.1.min.js?_=1736742740431 HTTP/1.1" 200 95786
